history_item,tag_id,timestamp
1915,1,708528850.070493
2182,2,708965557.272504
2236,3,708978586.238441
2238,4,708982219.27661
2338,5,709231031.476124
2376,6,709570699.722912
2484,8,709578325.279759
2493,7,709582020.194967
2500,8,709582260.929307
2528,10,709583102.006931
2541,4,709583469.774122
2518,9,709584014.277381
2684,8,709667760.376871
2747,12,709675483.364156
2816,5,709740524.387662
2819,5,709742037.014915
2865,13,709752604.705734
2927,14,709759285.193457
2824,5,709761899.464229
2983,15,709841887.510479
3190,16,710112159.037461
3009,17,710261488.863644
3242,17,710265199.323346
3327,19,710283972.640243
3337,20,710285340.925827
3354,21,710286199.631197
3380,18,710287079.575875
3415,22,710430700.966104
3539,5,710450568.380155
3577,23,710692140.532983
3578,23,710692149.10187
3846,24,710717835.909159
3856,25,710720433.883163
3880,26,710786092.483815
3971,27,710797655.470671
4185,30,710953866.496135
4100,31,710956389.338821
2601,32,711038223.517097
4438,34,711296678.784279
4619,35,711320513.00701
4839,36,711393490.797381
4842,37,711394142.299671
4857,24,711477630.947959
4902,38,711494662.525674
4944,39,711555850.285121
4963,40,711557086.880045
4659,41,711562531.900249
5179,42,711661480.50814
4428,43,711668714.646499
5322,15,711989196.428441
5354,44,712007620.495549
5396,45,712012995.663234
5323,36,712072181.110412
5409,46,712072193.853072
5420,47,712072878.766469
5431,48,712072933.723239
5702,24,712095484.340938
5752,32,712097838.191987
6037,17,712511508.525943
6042,49,712511620.677593
6086,50,712520710.822674
6096,51,712521125.412013
6106,36,712521883.234805
6199,53,712599350.240286
6178,52,712600082.734303
3330,17,712607017.355584
6269,12,712617180.89938
6280,54,712617424.784173
6333,55,712619721.726344
6378,15,712684417.261378
3996,4,712687877.638736
6392,56,712694077.277052
6408,57,712703372.651172
6482,58,712773533.656385
6510,24,712785804.220403
6536,59,712854730.204082
6598,60,712874237.405376
6799,36,713376664.373858
6798,36,713376700.212376
3881,13,713385896.821848
6855,62,713386974.594755
6857,56,713387435.067983
6916,63,713479871.470039
6750,61,713480720.328093
4179,24,714937821.357065
7318,17,714941052.03843
7360,24,714947630.489052
7424,64,715016450.80096
7428,65,715020726.941673
7727,66,715121092.988442
7836,67,715282422.109187
7940,68,715623823.029988
7955,69,715626375.73917
7797,70,715638524.809285
8087,36,715720200.625646
8099,72,715721743.469513
8212,73,715729415.922268
8213,73,715729467.277876
8293,24,715799043.457324
7493,64,715884214.261785
8417,69,715884237.438022
8453,74,715890889.801356
8455,75,715891312.453343
8465,76,715891788.704726
8528,77,715893873.471918
8618,24,716119258.981469
8660,4,716123296.817223
8718,78,716125006.387959
8736,79,716126136.283273
8779,36,716202279.828017
8791,43,716202506.764681
8880,80,716298646.955434
9036,81,716752200.966877
9048,82,716753633.022489
9047,82,716753643.847717
9064,81,716755673.311295
9076,83,716763576.1349
9164,36,716845354.112232
9194,84,716848941.577019
9249,85,716913098.025028
9250,85,716913115.621545
9252,85,716913131.893251
8791,86,716913163.694041
9340,81,716927619.240264
9448,87,716940164.686938
9469,80,716998076.990017
9471,88,716998779.38962
9483,89,717004071.265125
9516,90,717013561.121794
9647,91,717100211.948301
9665,92,717101504.886491
9577,93,717111852.151321
9736,10,717429367.760811
9739,81,717429712.249777
9778,94,717436570.070083
9793,5,717438521.081936
9840,81,717447381.634039
9997,71,717532312.418734
10065,95,717610393.9688
10087,94,717612762.942217
10116,96,717630932.352909
10261,97,717704319.822976
729,7,717716723.092248
10318,98,717717067.061842
10402,99,717954319.226985
10412,100,717956498.721279
10428,71,717959802.126506
10414,100,717965150.612391
10454,101,717972240.33064
10519,102,718048155.765635
10525,48,718048465.757184
10530,24,718048567.699092
10733,103,718294433.05811
10765,104,718301692.983811
10747,105,718668022.67945
7305,3,718668897.325781
11149,18,718721652.833518
11156,106,718723882.577417
8065,71,718747610.88464
11252,107,718754076.678639
9692,71,718813075.217877
11271,108,718816042.010298
9257,5,718833824.9386
11395,109,718900592.296151
11414,74,718909333.614932
9578,86,718924447.859127
11511,110,719164579.689524
11512,111,719164722.69166
11518,112,719164960.960279
11132,110,719178483.347958
11491,113,719250834.775547
7813,99,719257766.55145
11622,114,719260950.82103
11766,115,719352007.651383
11771,116,719352606.204168
11803,8,719357492.732056
11860,117,719428442.963471
11491,118,719428954.907661
11913,119,719506231.753963
11919,120,719506627.419621
11941,111,719518302.068398
11997,121,719531445.303813
11880,119,719787507.233667
11274,122,719856543.842922
12113,123,719867457.041045
12197,71,719869721.832562
12346,123,720026747.113302
12373,106,720040600.82332
12506,125,720124770.183206
12513,124,720127792.403865
12584,126,720454510.859399
12609,106,720456384.700305
12749,127,720547154.876738
12760,128,720549642.432612
12765,128,720549775.791372
13004,130,720649836.718695
13068,131,721248120.880745
11836,132,721250635.736133
13394,24,721590297.159331
13471,122,721604488.627922
13479,24,721605056.458751
12361,124,721606113.114984
13559,133,721690825.574709
13593,24,721757503.699701
13683,24,721761724.067023
13685,134,721766916.423186
13718,134,721769212.501846
13785,135,721779070.914537
13795,136,721780612.373208
4383,33,721856024.421239
14028,137,722202194.622444
14093,138,722794826.469761
14041,139,722794879.837227
14137,140,722797016.287671
14208,139,722801481.229162
9448,24,722877057.939282
14316,141,722879056.578988
14316,142,722879145.921128
14523,123,722974784.173279
14451,63,722982404.624654
11395,143,723053840.177759
12251,71,723061733.6289
14772,144,723065797.418227
15111,63,723158057.700193
15194,146,723406247.010918
15187,145,723406303.996293
15255,91,723415276.128626
15340,147,723494424.304852
15345,148,723494481.410823
15504,149,723581892.530192
15735,150,723669533.027461
15765,151,723680611.647461
15766,151,723680634.320284
15768,151,723680644.122845
15772,140,723680764.959598
14536,152,723681549.49384
15322,123,723682101.417604
10786,153,724000549.810082
16018,154,724177225.633196
16020,155,724177335.571344
16169,156,724267422.224879
16036,24,724268349.815278
16201,157,724273043.299086
16258,158,724278392.142736
16439,159,725905029.615527
16444,160,725905580.440111
16458,42,725906402.586287
16549,161,725920121.020539
16798,154,726012898.128645
16828,162,726076914.19379
16835,163,726077225.462841
16836,163,726077296.230753
16837,164,726077322.669274
16841,163,726077629.832477
16844,163,726077899.812871
16860,165,726091471.984076
16858,166,726092099.820773
16862,167,726092781.415873
16865,168,726094525.666549
16866,169,726096501.784894
17008,170,726167874.543808
17022,171,726169190.094324
17031,170,726177190.188373
17041,172,726179999.459383
17079,173,726185609.077715
17086,68,726186757.176926
17304,168,727108361.809255
17305,168,727108398.624929
16865,174,727115093.7479
17364,175,727116652.858176
12997,129,727118224.860437
17417,176,727127417.909087
17457,175,727129799.730375
17458,175,727129809.382577
17463,27,727131335.565173
17620,177,727210311.032344
17661,15,727286134.516558
17661,179,727288642.723494
17718,180,727312526.652857
17725,15,727372716.057301
17677,15,727372841.268554
17765,180,727375407.607807
17766,15,727375486.315646
17767,15,727375502.927653
17769,15,727375546.53576
17689,178,727384216.454327
17663,178,727392001.858164
17914,15,727626203.799235
17903,15,727626255.070316
17955,181,727635310.152798
17963,181,727635332.09098
17958,181,727635392.979658
17959,181,727635404.452731
17998,182,727641906.212374
18004,24,727642071.263456
18009,24,727642148.708145
18054,183,727645641.49567
18077,184,727646786.922711
18189,185,727720758.379338
18191,185,727720787.484948
18378,185,727813069.067459
18390,186,727816822.949516
17316,187,727828284.114904
18190,15,727888323.834303
18402,15,727888373.723637
4291,99,727892643.25399
18449,141,727903654.828327
18462,188,727904796.052818
18487,189,727910614.423821
18523,31,727916578.908371
18544,68,727916941.966166
18598,191,727987533.191273
18604,190,727987837.618685
18636,61,728002436.064568
18677,148,728243608.436833
18809,192,728339082.963766
18862,61,728409456.090046
18983,110,728417875.65668
19072,24,728434185.413473
19076,193,728434368.190226
19079,194,728435521.050764
19150,48,728510483.41237
19217,195,728521603.016702
19404,27,728594379.730121
19435,196,728601634.767872
19546,48,728841803.54911
19550,197,728841874.74976
19557,197,728841933.725687
19560,197,728842005.90008
19573,48,728842403.016377
19643,151,728861862.382152
19653,61,728864977.472051
19694,178,728928395.339612
19701,199,728930166.774231
19735,23,728934293.211267
19745,200,728934634.88427
19759,201,728939372.416241
19784,5,728942405.185272
19842,202,728950977.24589
19850,24,728953210.393213
19852,24,728953294.012242
19885,203,729017724.252264
19897,203,729018013.292428
4125,29,729034429.584759
20016,29,729034545.225033
20035,5,729035848.023929
20041,5,729035948.938085
20152,61,729116287.922622
20162,204,729116836.086427
20174,205,729125559.929109
20190,206,729126858.234801
20214,24,729191144.528562
20225,24,729192719.745238
20226,24,729193133.533213
20259,207,729196589.953132
20263,68,729196934.039149
20266,208,729197047.077823
20325,209,729205783.991439
20430,210,729464968.569881
20433,118,729466155.701266
20485,24,729468121.724163
20487,24,729468388.16616
20506,211,729471462.145918
20510,185,729528711.250882
20514,185,729528763.513488
20515,185,729528960.943481
20516,185,729528966.480654
20519,185,729529107.499587
20555,212,729534735.691133
20576,213,729546029.689128
20589,214,729554441.289643
20590,215,729554463.711718
20592,24,729557077.049124
20593,216,729557098.731017
20665,217,729638695.146287
18190,185,729713346.514442
20743,218,729717333.730991
20729,178,729717457.240099
20748,178,729717559.921522
20828,219,729725549.77907
20845,220,729730606.324528
20881,203,729791935.190239
21026,222,730066588.831691
21174,223,730157044.227094
21310,224,730230677.427303
21336,225,730232591.192699
21340,226,730232621.603961
21394,24,730247834.850869
21404,227,730248627.333138
21438,42,730315771.82171
21460,228,730326997.536449
21462,131,730327281.697499
21501,229,730415347.148111
21524,230,730653368.655473
21541,231,730663552.487282
21546,24,730664021.889263
21583,232,730675751.334623
18494,233,730748630.182213
20680,27,730752463.410948
18494,185,730918345.025705
21915,196,730924874.531177
21914,196,730925030.209468
21932,234,730939381.054342
22059,234,731012925.027018
21565,81,731019386.79264
22092,235,731020683.608608
22094,236,731021996.065897
22096,237,731022014.756658
22097,235,731022060.347565
22155,199,731342664.886146
22156,238,731342706.938011
22159,239,731343503.685587
22162,240,731344188.387195
22168,240,731344462.360891
22169,241,731344599.22646
11037,242,731344917.386432
22179,148,731347199.139305
18673,148,731354103.469716
22650,234,731442790.897514
22651,39,731442824.329728
22645,243,731442902.017074
22654,244,731444218.898833
22682,245,731444652.626266
22693,246,731446775.18942
22697,247,731448313.432634
22713,248,731450542.098173
22718,248,731450649.396641
22755,249,731460816.010507
22757,24,731517295.492945
21189,250,731521105.26684
22622,15,731525039.322851
22844,251,731543511.025716
21662,252,731609066.415878
22917,253,731884525.17588
22920,254,731884573.399498
22931,255,731886311.902167
22937,247,731887118.215188
23014,256,731952130.484765
23021,81,731953450.258487
23030,257,731953765.612049
16948,256,731954051.281576
23033,36,731957938.250295
23032,36,731958889.386192
17913,259,731960708.569965
23035,258,731970491.644517
23307,85,732051769.544138
23314,260,732059398.202119
23474,261,732215150.218432
23539,247,732473164.094191
23544,155,732477215.410722
23578,48,732488732.861376
22131,214,732568115.743697
23757,247,732568199.159616
23041,256,732572083.774571
23786,262,732573947.067967
23787,131,732574060.205105
23795,263,732574310.450864
23789,264,732575219.27556
22891,264,732576912.781706
21462,265,732639645.762769
17667,1,732663940.085683
22891,266,732732805.768965
23912,267,732747034.778132
23919,24,732750576.275846
23920,24,732750602.551135
23914,24,732750690.093792
23921,24,732750703.298272
17775,1,732750756.026929
23945,268,733072172.58523
23946,4,733072479.265896
23948,269,733072706.751798
23949,34,733073088.134934
24010,270,733089075.33988
24135,270,733157482.34179
24133,270,733157608.829836
24168,271,733163291.852039
24253,272,733175706.681414
24255,273,733175847.289381
24301,24,733327262.723072
24310,267,733329916.469795
18494,167,733685155.094071
24454,274,733685474.429878
24632,247,733781005.56836
24645,275,733781791.794714
24608,15,733850969.062997
24734,276,733859571.110273
24744,24,733861752.54143
24771,15,733933662.701097
24958,101,734031179.699562
24961,277,734031270.718743
24965,278,734031462.160241
25092,279,734305057.034006
18679,148,734365133.673136
25221,280,734383684.964034
20888,221,734456212.303412
22961,24,734461686.588019
25286,13,734465857.622859
25270,167,734466400.002434
25310,281,734478593.480405
22844,282,734544149.765285
25387,283,734560175.458096
25426,282,734623157.084141
2725,11,734626890.477545
25567,18,734896963.121374
25571,284,734904112.1627
10401,99,734906362.916883
25614,223,734907506.063248
25640,285,734909775.727065
25672,286,734968318.525593
25704,287,734974986.011753
25741,288,735145974.954757
25774,93,735151620.703791
25884,289,735241938.315894
24226,290,735247636.008647
25903,291,735250323.282755
25849,161,735487299.853547
19589,198,735497502.784034
26022,292,735505224.348347
26020,55,735510573.780113
26094,286,735573607.556719
26098,24,735574266.669705
26123,285,735578419.624545
26095,251,735584230.77772
26166,293,735593141.609093
25616,175,735593940.812265
3237,18,735594026.955058
26201,294,735666413.893999
26253,295,735836198.650423
26270,111,735853762.406824
26268,296,735853829.891198
26264,126,735853869.630896
26279,111,735854143.262484
26343,297,736112619.493097
26373,296,736114084.684399
26378,126,736114347.814961
26389,123,736114899.473775
26435,24,736180345.97636
26446,161,736181273.901757
26463,298,736183826.212084
26470,161,736184354.051584
26614,299,736291188.30171
26618,60,736350760.042454
26654,190,736372665.704966
26701,300,736378292.297285
26768,301,736701958.962933
26774,302,736702759.979237
26804,190,736784055.065238
26805,190,736784355.675024
26887,15,736806148.631861
26891,24,736808788.943593
26919,42,736871944.225061
26956,302,736879045.022891
27032,303,736882957.270059
27071,132,736893415.188351
4098,28,736896753.655011
27086,304,736896888.961512
27094,305,736897784.782534
27238,306,737315415.779425
27246,307,737315722.192811
27256,308,737317747.192768
27341,15,737399875.213756
26618,15,737415332.077629
27447,15,737415395.000228
26949,309,737474006.406096
27507,310,737484584.258852
27542,311,737502151.715979
27576,312,737562459.000187
27620,58,737569984.55478
27789,313,737586708.838464
27800,5,737664689.739515
27870,314,737665734.10936
27874,314,737666004.196592
27872,314,737666026.719546
27973,315,737675197.468937
27978,316,737675261.555341
27986,15,737910985.544485
